iteration,sbm_val,SHAP_GT_pos_dist,SHAP_GT_sbm_density
1,1.0,0.2593456,2.2795036
1,0.9,0.4469032,1.3832617
1,0.8,0.52376467,1.27835
1,0.7,0.6443154,1.1190706
1,0.6,0.6378246,0.97920287
1,0.5,0.6614375,0.6697984
1,0.4,0.71797025,0.6709707
1,0.3,0.78783417,0.53031695
1,0.2,0.8411877,0.3661811
1,0.1,1.0022082,0.3151899
1,0.0,1.0993344,0.3020775
2,1.0,0.31155577,2.0642612
2,0.9,0.4145522,1.6462662
2,0.8,0.4336384,1.2678624
2,0.7,0.50251985,1.0485282
2,0.6,0.6205144,1.039251
2,0.5,0.6513649,0.7023318
2,0.4,0.7628168,0.69603175
2,0.3,0.82901996,0.40911537
2,0.2,0.7937852,0.43144783
2,0.1,0.947612,0.27401304
2,0.0,1.09015,0.3479937
3,1.0,0.29362094,2.224316
3,0.9,0.48332807,1.5211227
3,0.8,0.49430877,1.2873867
3,0.7,0.4687554,1.0609596
3,0.6,0.6580193,0.9987974
3,0.5,0.73462725,0.7280194
3,0.4,0.7705643,0.6490065
3,0.3,0.8045728,0.509645
3,0.2,0.9405923,0.34648752
3,0.1,0.97591764,0.27908826
3,0.0,1.0315429,0.2809702
4,1.0,0.3404346,2.0949924
4,0.9,0.38677275,1.6725192
4,0.8,0.50534284,1.3407036
4,0.7,0.5379933,1.0335063
4,0.6,0.5784043,0.89825416
4,0.5,0.59866583,0.8065421
4,0.4,0.7013034,0.53790027
4,0.3,0.84749097,0.55726343
4,0.2,0.894709,0.37705562
4,0.1,1.0219454,0.34237716
4,0.0,1.235089,0.25024855
5,1.0,0.33990324,2.1509364
5,0.9,0.39591795,1.7787732
5,0.8,0.4230437,1.2739776
5,0.7,0.62570953,1.1052955
5,0.6,0.53187245,0.94360304
5,0.5,0.56173056,0.67443633
5,0.4,0.76908547,0.5692066
5,0.3,0.79702586,0.35314533
5,0.2,0.89328766,0.26638016
5,0.1,1.067838,0.23438637
5,0.0,1.1019325,0.27604455
6,1.0,0.33872792,2.0586615
6,0.9,0.45638692,1.4413483
6,0.8,0.4620811,1.3080992
6,0.7,0.6161911,1.2412161
6,0.6,0.5689177,0.91110355
6,0.5,0.7040218,0.7753912
6,0.4,0.6371191,0.55400985
6,0.3,0.82790756,0.44736287
6,0.2,0.9240965,0.4798077
6,0.1,0.9284518,0.29591545
6,0.0,1.1275831,0.24209128
7,1.0,0.32716486,2.1283522
7,0.9,0.44090578,1.6814872
7,0.8,0.45124727,1.3839638
7,0.7,0.56150204,1.2039531
7,0.6,0.59909487,0.8878728
7,0.5,0.7086484,0.87031925
7,0.4,0.711102,0.64621675
7,0.3,0.9734044,0.50681907
7,0.2,0.8517475,0.291214
7,0.1,1.0309769,0.29348385
7,0.0,1.1189785,0.3564527
8,1.0,0.30185908,2.1712272
8,0.9,0.42995784,1.4203556
8,0.8,0.49622127,1.4031656
8,0.7,0.61941785,1.0603851
8,0.6,0.60920936,1.013313
8,0.5,0.6012741,0.8168072
8,0.4,0.85896033,0.6746718
8,0.3,0.77180874,0.4324858
8,0.2,0.8133444,0.4182789
8,0.1,0.9703033,0.24771705
8,0.0,1.2361956,0.3073549
9,1.0,0.24694821,2.3240662
9,0.9,0.4279452,1.7022668
9,0.8,0.3538181,1.3930755
9,0.7,0.412552,1.0637299
9,0.6,0.59863794,0.8924823
9,0.5,0.74837714,0.7761002
9,0.4,0.70817685,0.61712724
9,0.3,0.8095279,0.43945667
9,0.2,0.93442214,0.31068605
9,0.1,1.0995195,0.38614327
9,0.0,1.1386114,0.29667488
10,1.0,0.25411496,2.141329
10,0.9,0.3540249,1.5799634
10,0.8,0.43882433,1.2748423
10,0.7,0.52225494,1.1806902
10,0.6,0.6980818,0.9997781
10,0.5,0.69273734,0.9809797
10,0.4,0.6616589,0.64216775
10,0.3,0.87546307,0.53542286
10,0.2,0.8709418,0.35039034
10,0.1,0.8754999,0.28851035
10,0.0,1.1433519,0.34084707
