iteration,sbm_val,SHAP_deepwalk_cos,SHAP_deepwalk_dist,SHAP_n2v_homophily_cos,SHAP_n2v_homophily_dist,SHAP_crosswalk_cos,SHAP_crosswalk_dist,SHAP_louvain_density,SHAP_infomap_density,SHAP_sbm_density,SHAP_leiden_density,SHAP_surprise_density,SHAP_significance_density,SHAP_pr_u,SHAP_pr_v,SHAP_ppr_u,SHAP_ppr_v,SHAP_lcc_u,SHAP_lcc_v,SHAP_and_u,SHAP_and_v,SHAP_dc_u,SHAP_dc_v,SHAP_katz_u,SHAP_katz_v,SHAP_sp,SHAP_jc,SHAP_aa,SHAP_cn,SHAP_pa,SHAP_ra
1,1.0,0.22094924747943878,0.2693654000759125,0.10603193938732147,0.10944852977991104,0.26719704270362854,0.08502063900232315,0.033755864948034286,0.13458482921123505,0.317773699760437,0.4773184359073639,0.051724229007959366,0.5267460346221924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38119247555732727,0.16947661340236664,0.038461122661828995,0.15898476541042328,0.16557367146015167
1,0.9,0.15676601231098175,0.1698482185602188,0.6014959216117859,0.1465393751859665,0.16852031648159027,0.12252948433160782,0.025895340368151665,0.04090682789683342,0.0973483994603157,0.3249208331108093,0.10966015607118607,0.16826139390468597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2521172761917114,0.3330043852329254,0.0067002600990235806,0.3183605670928955,0.305070698261261
1,0.8,0.11312295496463776,0.15536734461784363,0.15956829488277435,0.15748949348926544,0.23526760935783386,0.17933601140975952,0.10318723320960999,0.01071223709732294,0.23483270406723022,0.27142807841300964,0.23919495940208435,0.18210949003696442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126740500330925,0.42050841450691223,0.06973797082901001,0.2969718277454376,0.07191023230552673
1,0.7,0.2192305326461792,0.12523634731769562,0.14934763312339783,0.13214099407196045,0.1627281755208969,0.15154871344566345,0.05589831620454788,0.0,0.04510531947016716,0.23983758687973022,0.34385257959365845,0.11545733362436295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15691931545734406,0.14237581193447113,0.0,0.11696450412273407,0.3248293697834015
1,0.6,0.12023799866437912,0.11483775824308395,0.21913383901119232,0.09428267180919647,0.2347649782896042,0.15499736368656158,0.03455222025513649,0.0,0.18331947922706604,0.1362210065126419,0.10999918729066849,0.13223719596862793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160725235939026,0.2124600112438202,0.07465320080518723,0.22300685942173004,0.0939033254981041
1,0.5,0.19028013944625854,0.1258581578731537,0.20023971796035767,0.16186878085136414,0.1604793667793274,0.10247451812028885,0.10402696579694748,0.0,0.23670823872089386,0.1615322232246399,0.17870628833770752,0.08234234154224396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09957434982061386,0.16641643643379211,0.006662625353783369,0.14344783127307892,0.24938061833381653
1,0.4,0.11876709014177322,0.1299150288105011,0.12631778419017792,0.16372650861740112,0.2912837862968445,0.144049733877182,0.14803560078144073,0.0,0.259983092546463,0.038282349705696106,0.27742481231689453,0.19827508926391602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20084616541862488,0.2997490465641022,0.01556289941072464,0.2656562030315399,0.08882230520248413
1,0.3,0.16801810264587402,0.1447354555130005,0.19973967969417572,0.12861725687980652,0.2412988692522049,0.18139863014221191,0.06001215800642967,0.0034630121663212776,0.47150975465774536,0.14347082376480103,0.13274958729743958,0.1406116634607315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13833355903625488,0.12923118472099304,0.0,0.17637938261032104,0.22444841265678406
1,0.2,0.1389557272195816,0.15812236070632935,0.14868250489234924,0.17879514396190643,0.11805400252342224,0.21096475422382355,0.0369831845164299,0.0029267347417771816,0.06743094325065613,0.05978421866893768,0.8353089690208435,0.12589092552661896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01135545689612627,0.1792515218257904,0.2221253216266632,0.022696183994412422,0.142066091299057,0.09295772016048431
1,0.1,0.1517985463142395,0.18520164489746094,0.15480604767799377,0.14616204798221588,0.21027624607086182,0.12500014901161194,0.04365861415863037,0.008155432529747486,0.1138470396399498,0.05361233279109001,0.5967718958854675,0.5023670792579651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006189543753862381,0.20931921899318695,0.07799325883388519,0.049693237990140915,0.19870010018348694,0.0838671624660492
