Trial,Avg_AUC,Std_AUC,Avg_AP,Delta_AUC,Params
18,0.9886587553862418,0.0,0.8768239060781062,0.006995358460482715,"{'learning_rate': 0.05211256472234118, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.8239510597542952, 'colsample_bytree': 0.7464885565567054, 'reg_alpha': 0.06954281197902105, 'reg_lambda': 0.05717614494895658}"
1,0.9886488507361499,0.0,0.8756122183092124,0.006541558020471072,"{'learning_rate': 0.08570576166310136, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.8600112241464071, 'colsample_bytree': 0.9417570755645908, 'reg_alpha': 1.8489895078733134, 'reg_lambda': 8.874675821387882}"
20,0.988519397699102,0.0,0.875243484420843,-0.0011174590614184687,"{'learning_rate': 0.023836439153509466, 'max_depth': 4, 'min_child_weight': 11, 'subsample': 0.9261960081396012, 'colsample_bytree': 0.6123063666334319, 'reg_alpha': 0.06661586897966792, 'reg_lambda': 0.0010884883369802613}"
8,0.9883859774227098,0.0,0.8750923523754548,0.002297287939477699,"{'learning_rate': 0.016841819807978445, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7780800834833992, 'colsample_bytree': 0.7703162486994253, 'reg_alpha': 0.025865986190665907, 'reg_lambda': 0.9614338274889878}"
29,0.9883312900369676,0.0,0.8716710638756581,0.007083846325033449,"{'learning_rate': 0.09609804540862134, 'max_depth': 6, 'min_child_weight': 12, 'subsample': 0.9903544351664463, 'colsample_bytree': 0.9547414304857342, 'reg_alpha': 0.001082095505289931, 'reg_lambda': 0.5249449601149183}"
10,0.9883222427140221,0.0,0.8779524668875166,0.01149708750427203,"{'learning_rate': 0.041401046083417097, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6104155022348229, 'colsample_bytree': 0.7401674774520681, 'reg_alpha': 0.009075857693455201, 'reg_lambda': 0.0025496818203202994}"
2,0.9882319644844664,0.0,0.8756936874481296,-0.0022993519302759724,"{'learning_rate': 0.019659524784536062, 'max_depth': 4, 'min_child_weight': 11, 'subsample': 0.7133932053454939, 'colsample_bytree': 0.6087799183188549, 'reg_alpha': 2.0950975991138203, 'reg_lambda': 0.04805610104222234}"
0,0.9875558863829721,0.0,0.8700185551983934,0.009915484207799863,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.001, 'reg_lambda': 1.0}"
3,0.9874396765287866,0.0,0.8735360542085503,-0.0031147306900083382,"{'learning_rate': 0.014135573509543664, 'max_depth': 4, 'min_child_weight': 15, 'subsample': 0.6083377531494706, 'colsample_bytree': 0.8586043460846311, 'reg_alpha': 0.0012724070250374115, 'reg_lambda': 0.7303108988748048}"
6,0.9863317139936467,0.0,0.8619420761106702,-0.0022171757995317343,"{'learning_rate': 0.013789658721318892, 'max_depth': 7, 'min_child_weight': 12, 'subsample': 0.8320744017947888, 'colsample_bytree': 0.9205399933567668, 'reg_alpha': 8.552686894919898, 'reg_lambda': 1.127899501887847}"
