G_name,Ratio_SBM,Iter,Experiment,AP_train,AUC-ROC_train,AP_eval,AUC-ROC_eval,Top_Feature,Top_Importance
artificial_graph_sbmv_4_1_00_pos_0_00_1,1.0,1,Max théorique (GT_proba),0.4321201435198633,0.9100615530303031,0.19911478266879987,0.9114921346557364,GT_proba,1.0
artificial_graph_sbmv_4_1_00_pos_0_00_1,1.0,1,Topologiques,0.34496609353966323,0.8369673295454546,0.13779427007246214,0.845158545009058,jc,0.4128299
artificial_graph_sbmv_4_1_00_pos_0_00_1,1.0,1,Communautés,0.3820209642928876,0.894921875,0.07309674667264593,0.8186242489801769,leiden_density,0.37214333
artificial_graph_sbmv_4_1_00_pos_0_00_1,1.0,1,Embeddings,0.31191577763816003,0.8311316287878787,0.11311672364791558,0.7685278056536642,deepwalk_cos,0.20870513
artificial_graph_sbmv_4_0_90_pos_0_10_1,0.9,1,Max théorique (GT_proba),0.34687487049724297,0.8752462568951931,0.1105782124594138,0.849212292860936,GT_proba,1.0
artificial_graph_sbmv_4_0_90_pos_0_10_1,0.9,1,Topologiques,0.18930045984434735,0.7280954491725767,0.062315633231550496,0.7458400620906579,aa,0.23946089
artificial_graph_sbmv_4_0_90_pos_0_10_1,0.9,1,Communautés,0.2489087120282863,0.8250467888100868,0.06783736585803037,0.7592622649473727,significance_density,0.32354155
artificial_graph_sbmv_4_0_90_pos_0_10_1,0.9,1,Embeddings,0.18995809842696137,0.7350768321513002,0.0875128676000154,0.7706947073160768,n2v_homophily_cos,0.2892444
artificial_graph_sbmv_4_0_80_pos_0_20_1,0.8,1,Max théorique (GT_proba),0.356694870121376,0.8720968885737079,0.11021838219078484,0.8422307214954219,GT_proba,1.0
artificial_graph_sbmv_4_0_80_pos_0_20_1,0.8,1,Topologiques,0.21560850594542819,0.7568921194929528,0.05681013290402297,0.6697788781803675,aa,0.28478098
artificial_graph_sbmv_4_0_80_pos_0_20_1,0.8,1,Communautés,0.2501392766960838,0.7859121531779097,0.04052698793501952,0.6601010625498664,leiden_density,0.22076373
artificial_graph_sbmv_4_0_80_pos_0_20_1,0.8,1,Embeddings,0.1894583691249793,0.7560721567236947,0.05795148678623582,0.7141555958004585,deepwalk_dist,0.21527198
artificial_graph_sbmv_4_0_70_pos_0_30_1,0.7,1,Max théorique (GT_proba),0.25674799693103495,0.7969981284475964,0.0926236624015754,0.8043276916163995,GT_proba,1.0
artificial_graph_sbmv_4_0_70_pos_0_30_1,0.7,1,Topologiques,0.12819033788840062,0.5829762608353033,0.05023702962572027,0.6598690104982231,ra,0.263764
artificial_graph_sbmv_4_0_70_pos_0_30_1,0.7,1,Communautés,0.15163925883246465,0.6963159968479118,0.038703937333513086,0.6849253141977913,surprise_density,0.2863049
artificial_graph_sbmv_4_0_70_pos_0_30_1,0.7,1,Embeddings,0.1665674296611611,0.679718282111899,0.038137021743966236,0.5640729292901785,crosswalk_dist,0.20484018
artificial_graph_sbmv_4_0_60_pos_0_40_1,0.6,1,Max théorique (GT_proba),0.22399796439558922,0.8236901030004479,0.07095595998294409,0.8227721894631363,GT_proba,1.0
artificial_graph_sbmv_4_0_60_pos_0_40_1,0.6,1,Topologiques,0.07495993935910572,0.5038289296909987,0.038444612383651634,0.6530215439164451,cn,0.638352
artificial_graph_sbmv_4_0_60_pos_0_40_1,0.6,1,Communautés,0.13908399337484476,0.6806314375279892,0.030773773509619035,0.5942923395125962,sbm_density,0.27550834
artificial_graph_sbmv_4_0_60_pos_0_40_1,0.6,1,Embeddings,0.10336072897201107,0.6089117778772952,0.02764407510949672,0.4941163397181434,n2v_homophily_cos,0.18073426
artificial_graph_sbmv_4_0_50_pos_0_50_1,0.5,1,Max théorique (GT_proba),0.1822957055604058,0.7549465240641711,0.08485194180299671,0.821519587151591,GT_proba,1.0
artificial_graph_sbmv_4_0_50_pos_0_50_1,0.5,1,Topologiques,0.09466579075700539,0.58441905687895,0.04159173748544821,0.6248730273280593,aa,0.23747945
artificial_graph_sbmv_4_0_50_pos_0_50_1,0.5,1,Communautés,0.08512753739933028,0.5706976178901313,0.028929165123054268,0.5850701923993411,sbm_density,0.28470463
artificial_graph_sbmv_4_0_50_pos_0_50_1,0.5,1,Embeddings,0.13240979161186703,0.6139766650461838,0.03864378726013655,0.6625333260712681,n2v_homophily_cos,0.17806348
artificial_graph_sbmv_4_0_40_pos_0_60_1,0.3999999999999999,1,Max théorique (GT_proba),0.25100510684069627,0.8446925041752628,0.06814295112230487,0.8037885218425606,GT_proba,1.0
artificial_graph_sbmv_4_0_40_pos_0_60_1,0.3999999999999999,1,Topologiques,0.1308754519800917,0.6052411828273897,0.0359008911272689,0.6423463181228373,aa,0.2553072
artificial_graph_sbmv_4_0_40_pos_0_60_1,0.3999999999999999,1,Communautés,0.1458063168083277,0.7201591511936339,0.03215760753348411,0.607688419117647,sbm_density,0.2622725
artificial_graph_sbmv_4_0_40_pos_0_60_1,0.3999999999999999,1,Embeddings,0.10079286665200063,0.6165635131152373,0.031191365152966076,0.6063727292387543,crosswalk_cos,0.21017423
