Ratio_SBM,Experiment,F1-Score
0.65,Ground_Truth_Only,0.7670886075949367
0.65,Ground_Truth_Shuffled,0.6523468575974543
0.65,Structure_Only,0.9573529411764706
0.65,Embeddings_Only,0.9552457813646368
0.65,Inferred_Commu only,0.7859477124183006
0.65,Structure + Inferred_Commu,0.9604105571847508
0.65,Full_with_Embeddings,0.9565217391304348
0.7000000000000001,Ground_Truth_Only,0.7815533980582524
0.7000000000000001,Ground_Truth_Shuffled,0.6536731634182908
0.7000000000000001,Structure_Only,0.9526501766784452
0.7000000000000001,Embeddings_Only,0.9554140127388535
0.7000000000000001,Inferred_Commu only,0.7996857816182247
0.7000000000000001,Structure + Inferred_Commu,0.9519774011299436
0.7000000000000001,Full_with_Embeddings,0.9578059071729957
0.75,Ground_Truth_Only,0.7987878787878788
0.75,Ground_Truth_Shuffled,0.683929931454684
0.75,Structure_Only,0.9567068843151171
0.75,Embeddings_Only,0.9623846699787083
0.75,Inferred_Commu only,0.8305343511450382
0.75,Structure + Inferred_Commu,0.9654199011997178
0.75,Full_with_Embeddings,0.9653710247349824
0.8,Ground_Truth_Only,0.7824519230769231
0.8,Ground_Truth_Shuffled,0.660377358490566
0.8,Structure_Only,0.9716363636363636
0.8,Embeddings_Only,0.9723837209302325
0.8,Inferred_Commu only,0.8555900621118012
0.8,Structure + Inferred_Commu,0.9731299927378358
0.8,Full_with_Embeddings,0.975397973950796
0.8500000000000001,Ground_Truth_Only,0.7852906287069988
0.8500000000000001,Ground_Truth_Shuffled,0.6587360594795539
0.8500000000000001,Structure_Only,0.9772079772079773
0.8500000000000001,Embeddings_Only,0.976545842217484
0.8500000000000001,Inferred_Commu only,0.8848207475209764
0.8500000000000001,Structure + Inferred_Commu,0.9786324786324786
0.8500000000000001,Full_with_Embeddings,0.9779359430604982
0.9,Ground_Truth_Only,0.7884841363102233
0.9,Ground_Truth_Shuffled,0.6402877697841727
0.9,Structure_Only,0.9815602836879432
0.9,Embeddings_Only,0.9822064056939501
0.9,Inferred_Commu only,0.9109947643979057
0.9,Structure + Inferred_Commu,0.9829545454545454
0.9,Full_with_Embeddings,0.9851169383416017
0.9500000000000001,Ground_Truth_Only,0.7926757235676314
0.9500000000000001,Ground_Truth_Shuffled,0.6629292221443588
0.9500000000000001,Structure_Only,0.9856527977044476
0.9500000000000001,Embeddings_Only,0.982078853046595
0.9500000000000001,Inferred_Commu only,0.9394387001477105
0.9500000000000001,Structure + Inferred_Commu,0.9870689655172413
0.9500000000000001,Full_with_Embeddings,0.9835125448028674
1.0,Ground_Truth_Only,0.7848396501457726
1.0,Ground_Truth_Shuffled,0.6653005464480874
1.0,Structure_Only,0.9936930623686054
1.0,Embeddings_Only,0.9915611814345991
1.0,Inferred_Commu only,0.9620253164556962
1.0,Structure + Inferred_Commu,0.9922915206727401
1.0,Full_with_Embeddings,0.9908771929824561
